ID,YEAR,COUNTRY,MAGNITUDE
1,-2150,JORDAN,7.3
2,-2000,SYRIA,
3,-2000,TURKMENISTAN,7.1
5877,-1610,GREECE,
8,-1566,ISRAEL,
11,-1450,ITALY,
9712,-1365,SYRIA,
12,-1250,ISRAEL,6.5
13,-1050,JORDAN,6.2
14,-759,ISRAEL,
7793,-590,LEBANON,
16,-550,GREECE,
7794,-525,LEBANON,
9713,-480,GREECE,
17,-479,GREECE,7
18,-432,GREECE,
5878,-426,GREECE,7.1
19,-400,IRAN,7.6
20,-373,GREECE,7.3
21,-364,ITALY,
22,-330,GREECE,7
9652,-326,INDIA,
24,-282,GREECE,
23,-282,TURKEY,
25,-250,KYRGYZSTAN,6.7
28,-227,GREECE,7.2
9752,-223,GREECE,
8196,-221,EGYPT,
9732,-218,SPAIN,
29,-217,ITALY,
9733,-210,PORTUGAL,
7795,-198,GREECE,
7895,-193,CHINA,6.5
30,-186,CHINA,7
31,-177,ITALY,
32,-70,CHINA,7
55,-63,RUSSIA,6.4
9734,-60,PORTUGAL,6.7
9753,-58,ALBANIA,6.6
9786,-50,BULGARIA,
9754,-50,GEORGIA,5.5
33,-47,CHINA,
34,-33,ISRAEL,
35,-31,ISRAEL,7
8197,-27,EGYPT,
36,-26,CHINA,5.5
7796,-26,CYPRUS,
37,-15,CYPRUS,
38,10,TURKMENISTAN,7.1
39,11,TURKEY,
40,17,TURKEY,
41,23,GREECE,
42,25,PAKISTAN,
43,27,SOUTH KOREA,6.3
44,29,TURKEY,
8178,33,ISRAEL,
7896,46,CHINA,6.5
46,50,AFGHANISTAN,
48,52,TURKEY,
49,52,GREECE,
50,55,GREECE,
51,57,ALBANIA,
52,60,TURKEY,
5880,62,GREECE,6.9
53,63,ITALY,
57,76,CYPRUS,
58,79,ITALY,
60,89,SOUTH KOREA,6.3
61,93,TURKEY,
62,100,SOUTH KOREA,6.3
63,105,TURKEY,
9970,109,TURKEY,
64,115,TURKEY,7.5
9969,120,TURKEY,7.2
65,123,SOUTH KOREA,6.3
7897,128,CHINA,6.5
66,138,CHINA,6.8
5883,142,GREECE,7
7898,143,CHINA,7
67,155,GREECE,
68,170,GREECE,
5884,173,CHINA,
69,177,TURKEY,
9757,177,ITALY,
70,180,CHINA,7.5
71,243,ITALY,5.3
72,251,GREECE,
73,253,TURKEY,
9984,258,ITALY,
8199,262,TURKEY,
7899,294,CHINA,5.5
74,294,CHINA,5.5
75,304,SOUTH KOREA,6.3
76,306,LEBANON,
9988,315,ISRAEL,
7900,319,CHINA,4.5
77,324,ITALY,
78,334,ALBANIA,
79,340,TURKEY,
80,341,TURKEY,
81,342,TURKEY,
82,342,ALBANIA,
85,344,ITALY,
83,344,CHINA,
84,344,TURKEY,
9989,346,ALBANIA,6.8
86,348,LEBANON,
87,350,TURKEY,
88,355,TURKEY,
89,358,TURKEY,
91,361,MACEDONIA,
92,362,JORDAN,6.4
93,362,TURKEY,
95,365,GREECE,8
98,367,TURKEY,
99,368,TURKEY,
8239,368,TURKEY,6.4
100,369,ITALY,
9758,382,PORTUGAL,
101,394,TURKEY,
102,396,TURKEY,
5885,407,TURKEY,6.6
103,412,TUNISIA,
104,419,ISRAEL,
106,425,ISRAEL,
109,427,AZERBAIJAN,6.7
110,438,GREECE,
112,440,TURKEY,
5887,447,TURKEY,7.3
114,448,GREECE,
9972,450,TURKEY,
115,457,TURKEY,
116,458,TURKEY,
117,460,THAILAND,
118,470,FRANCE,
119,477,TURKEY,
5888,478,TURKEY,7.2
121,494,LEBANON,
8090,499,CHINA,
122,500,KAZAKHSTAN,6.7
123,501,NORTH KOREA,6.3
124,510,SOUTH KOREA,6.3
125,512,CHINA,7.5
126,518,MACEDONIA,
128,521,GREECE,
129,522,SYRIA,
130,522,ALBANIA,
131,525,TURKEY,7
132,527,GREECE,
134,528,TURKEY,7.1
136,533,SYRIA,
5889,543,TURKEY,6.8
10058,551,GREECE,
138,551,GREECE,7.1
139,551,LEBANON,
140,552,SYRIA,
